"days_since_admission","alanine aminotransferase (ALT)_LB","alanine aminotransferase (ALT)_UB","albumin_LB","albumin_UB","aspartate aminotransferase (AST)_LB","aspartate aminotransferase (AST)_UB","total bilirubin_LB","total bilirubin_UB","C-reactive protein (CRP) (Normal Sensitivity)_LB","C-reactive protein (CRP) (Normal Sensitivity)_UB","creatinine_LB","creatinine_UB","Ferritin_LB","Ferritin_UB","lactate dehydrogenase (LDH)_LB","lactate dehydrogenase (LDH)_UB","Fibrinogen_LB","Fibrinogen_UB","procalcitonin_LB","procalcitonin_UB","D-dimer (FEU)_LB","D-dimer (FEU)_UB","cardiac troponin (High Sensitivity)_LB","cardiac troponin (High Sensitivity)_UB","white blood cell count (Leukocytes)_LB","white blood cell count (Leukocytes)_UB","lymphocyte count_LB","lymphocyte count_UB","neutrophil count_LB","neutrophil count_UB","D-dimer (DDU)_LB","D-dimer (DDU)_UB","prothrombin time (PT)_LB","prothrombin time (PT)_UB","cardiac troponin (Normal Sensitivity)_LB","cardiac troponin (Normal Sensitivity)_UB"
0,-190.935210176654,270.859129224273,-1.6461801235849,8.4701048547677,-698.458437340707,799.821041370463,-0.00480386185239068,1.37461186185239,58.6982949324915,148.745807190284,0.854634175253481,2.05442582474652,-1862.28365719013,3731.4226268871,134.277959668534,813.231299590725,476.448455410082,690.169544589918,-16.819362730641,18.1490770163553,-6286.20695497602,10105.636954976,-27.8643090343583,28.1080564027794,4.98638068213432,10.1490553962971,-3.6579674584701,5.7461474584701,-26.6334696860926,38.1352696860926,80.3000583699494,1554.49317761825,2.32634753009984,26.9495524699002,-0.110750528480922,0.248063028480922
1,-253.419738427811,329.840565535904,-0.900774458815149,7.11347445881515,-730.745025215658,837.863802138735,-0.128481780563926,1.49494778056393,54.9647432651853,160.611256734815,0.847371415659032,1.95508858434097,-2368.53936267045,4309.32436267045,45.463775597257,847.810660492969,451.871461718927,681.600538281073,-26.2809166537043,28.1704699416861,-11016.5810443561,15532.2910443561,-8.38727858118841,8.80193929547412,5.12348513912122,9.91698342043067,-2.35159097655173,4.46752097655173,-25.93817790245,37.250371780001,135.530833886834,1693.87177733978,-2.9862439125836,33.4872439125836,-0.2796887414072,0.4612721414072
2,-192.091052724731,273.996732237916,-1.64591274067261,7.51066094267261,-646.713858874732,755.379958874732,-0.350514084478335,1.63920408447833,88.4464085781564,155.750325292812,0.766446902977096,2.0439730970229,-1923.07307885743,4113.97094770989,191.360050626996,700.108093417326,487.902635054164,729.584364945836,-26.7346310472358,28.8933605467033,-5141.26724783101,9508.48724783101,-8.30178675219197,8.49438675219197,5.82108506487532,9.43959097808214,-3.61165686585565,5.72852686585565,-21.4320371062754,33.4811771062754,-1440.14388091536,2847.2198590813,-0.444153749695396,30.1323537496954,-0.41108700074156,0.64628600074156
3,-196.566899770613,284.540554316067,-1.74067868170748,7.44963868170748,-620.90055664045,729.96165664045,-0.679848329174974,1.98046432917497,68.3152985395692,143.032701460431,0.704504514694422,2.06935548530558,-1689.87658718208,3893.45658718208,183.060693261809,785.979306738191,452.090986266279,750.109013733721,-16.8786258340815,18.8630698340815,-7653.66930279805,12693.9138583536,-20.234728074716,20.5090018842398,5.39854735262751,9.79831761071876,-3.81444489887932,5.87937642430305,-21.4413987355736,33.3153987355736,-560.844356581001,2280.15002459719,1.05736184182953,29.6426381581705,-0.330025776971573,0.590752776971573
4,-233.959366158352,320.200540517326,-1.58607324713463,7.25401005422997,-507.622575421406,616.950242088073,-0.849970425283843,2.1253155929367,68.7774959643477,157.464773266422,0.672748661843974,2.21925133815603,-1709.11932472426,4378.74458372426,147.100490411039,723.782700472151,518.1449073281,749.693092671899,-17.7599004018348,20.4149204018348,-7296.85157560014,11815.4315756001,-6.45221655481574,6.6067620093612,5.62560483191043,9.86156712461131,-3.76783290362611,5.76101132242952,-21.4248437280609,33.6987753519926,-922.114231185294,3262.8648833592,3.82015245672108,26.7402475432789,-0.342259510286466,0.564842510286466
5,-208.910697607136,300.004504871223,-1.96980831205129,7.54298831205129,-623.109600396848,743.109600396848,-0.703213373487588,1.97073810188265,60.972202622676,146.596019599546,0.621528901649569,2.34053109835043,-2134.37439175332,4905.56439175332,205.646861886792,690.701138113208,485.251920220736,765.821760530438,-12.9709322884371,15.4564189551038,-9825.79409360866,15511.7540936087,-5.33815484135887,5.45463729716589,5.79395344941923,10.6319065505808,-6.17583663759119,8.32107663759119,-20.4271889641938,33.4306372400558,-1456.15921468335,3733.01994527695,4.39979387252436,26.2668727874756,-0.316751845801243,0.457801445801243
6,-217.313321368635,312.268321368635,-2.10922281615765,7.70849281615765,-486.780238244635,602.008809673206,-0.881239554115769,2.20923955411577,62.5274274314482,148.557572568552,0.628395556395006,2.39000444360499,-1737.59132406803,4449.17629640136,261.416972108095,657.041427891905,449.350401539802,803.376598460198,-12.2819494645288,14.4946967172761,-10283.1174617519,16388.7424617519,-2.40331917785116,2.51655554148752,5.61343581779751,11.4550341822025,-4.91758534083096,7.08261534083096,-24.5532210822027,37.41594835493,-728.111940631304,3040.9554614137,2.86107406726012,27.3753259327399,-0.235872774174627,0.491682774174627
7,-241.757796912693,342.666796912693,-2.43837898458193,7.93898898458193,-459.039692009911,573.968263438482,-0.903902186935605,2.27932577000703,57.4437425219657,147.698318084095,0.61423474590367,2.37861026471204,-1395.32947360554,3718.14947360554,152.988051479462,733.496074101934,483.824377682073,786.142114625619,-14.9102703641341,16.8434872491414,-9022.64570249393,15225.8715089455,-3.8100093704401,3.94701815596982,6.09025357454744,11.5920263091701,-5.84179648605161,8.09385648605161,-27.7907869854788,41.3638904337547,-2413.11553877402,5079.01027561612,-0.497692358153186,31.0728402781532,-0.417113691636821,0.590308091636822
8,-247.207486910914,348.676517065763,-2.64020174908379,8.00246174908379,-415.56918976605,524.90258976605,-0.729052783768882,2.09486160729829,48.7033631656724,147.164188456746,0.526152666098582,2.47114733390142,-1903.92338425888,4320.50338425888,228.566297158085,681.451702841915,443.481265542912,829.157734457088,-12.1885351334564,14.2683651334564,-15550.0594739528,22035.244659138,-3.50251742562512,3.64430538858808,6.62840043442332,12.3802487459046,-6.26618743878904,8.53162096478905,-22.0364355911209,36.6921714401775,-1740.89303188877,4648.56446046019,2.70411470436181,27.5905852956382,-0.325520159219669,0.512407659219669
9,-314.28701161069,421.26301161069,-2.30491590645967,7.69670590645967,-466.261714953665,576.975914953665,-0.698904519692533,2.11252951969253,64.3381104806292,130.449289519371,0.574511985051705,2.40108801494829,-1202.56966893733,3634.03603257369,107.147738499762,736.623630298804,395.699264601659,879.684665222903,-19.6624540879262,22.0624540879261,-17141.7816618729,24143.7492568097,-3.09719594200828,3.22699594200829,6.97756459790487,13.1423354020951,-5.93065318054262,8.27637318054262,-35.0519334361024,50.5786534361024,-648.871049944582,3834.32166722854,4.39174267004696,25.8944017743974,-0.334207916193912,0.530226616193912
10,-416.368960606313,522.499360606313,-2.82506728057456,8.33376728057456,-562.943562412197,669.849359513646,-0.620883414379565,2.11088341437957,48.2553920090906,127.614449260751,0.622611886895505,2.3248681131045,-2280.11502992356,4584.15074420928,127.430819209815,716.932817153821,354.804795065442,879.701298873952,-17.6859915252097,19.8859915252097,-15748.7420877109,22381.5620877109,-1.28713641624365,1.42552530513254,6.51949896961918,13.9651010303808,-5.65615864973468,8.00967864973468,-27.2345576500358,43.240529872258,-2602.99918550678,5702.2294260566,-2.4406546408674,33.1210914829727,-0.510931018393556,0.624931018393556
